seed,dimension,M,time,solution,termination,calls
1,30,20.0,0.13594299999999998,Inf,INFEASIBLE,2
2,30,20.0,0.010968,Inf,INFEASIBLE,2
3,30,20.0,0.011776,Inf,INFEASIBLE,2
1,30,20.0,0.638886,Inf,INFEASIBLE,2
2,30,20.0,0.012308,Inf,INFEASIBLE,2
3,30,20.0,0.011764,Inf,INFEASIBLE,2
1,40,20.0,0.013392999999999999,Inf,INFEASIBLE,2
2,40,20.0,0.012969999999999999,Inf,INFEASIBLE,2
3,40,20.0,0.012964999999999999,Inf,INFEASIBLE,2
1,50,20.0,0.014544999999999999,Inf,INFEASIBLE,2
3,50,20.0,0.014771999999999999,Inf,INFEASIBLE,2
