seed,num_v,solution,termination,time
1,4,-12.11384911128534,LOCALLY_SOLVED,1.894169807434082
1,5,-16.024791441639042,LOCALLY_SOLVED,1.9207398891448975
1,6,-5.929927997220783,LOCALLY_SOLVED,1.928717851638794
1,7,-8.400099626621152,LOCALLY_SOLVED,1.8724379539489746
1,8,19.46648000359908,LOCALLY_SOLVED,1.4396719932556152
2,4,-13.81830667907349,LOCALLY_SOLVED,1.908843994140625
2,5,-16.77092460704251,LOCALLY_SOLVED,1.8566570281982422
2,6,-18.577450506517195,LOCALLY_SOLVED,1.9502918720245361
2,7,-13.867058401826252,LOCALLY_SOLVED,1.8777470588684082
2,8,-7.221043200624037,LOCALLY_SOLVED,1.9221129417419434
3,4,-17.107982684029924,LOCALLY_SOLVED,1.9384260177612305
3,5,-6.39710413649062,LOCALLY_SOLVED,1.8810551166534424
3,6,-19.868386732309496,LOCALLY_SOLVED,1.8486988544464111
3,7,2.819769498215777,LOCALLY_SOLVED,1.8935871124267578
3,8,-13.01830998918285,LOCALLY_SOLVED,1.8752729892730713
