seed,dimension,var_A,M,solution,calls,termination,time
1,5,1,0.1,0.5610176221794871,1031,OPTIMAL,2.28695
1,5,5,0.1,0.17014042505504479,1082,OPTIMAL,2.724529
1,5,1,1.0,0.5610174767629486,1402,OPTIMAL,3.969419
1,5,5,1.0,0.17014045292363417,1423,OPTIMAL,3.6950469999999997
2,5,1,0.1,0.6388973864250419,1112,OPTIMAL,2.758642
2,5,5,0.1,0.29725640196891323,1144,OPTIMAL,3.336956
2,5,1,1.0,0.6388973654894581,1476,OPTIMAL,3.779286
2,5,5,1.0,0.29725641477592835,1465,OPTIMAL,3.8152049999999997
3,5,1,0.1,0.6501361682096285,1127,OPTIMAL,2.7586079999999997
3,5,5,0.1,0.3376096777771608,1130,OPTIMAL,3.214264
3,5,1,1.0,0.6501361678590749,1500,OPTIMAL,4.2942219999999995
3,5,5,1.0,0.33760976961347255,1530,OPTIMAL,4.000589
1,10,1,0.1,0.5458768885563414,4271,OPTIMAL,28.067207
1,10,5,0.1,0.1640766218955277,4351,OPTIMAL,29.272968
1,10,1,1.0,0.5458769093453362,5960,OPTIMAL,72.518332
1,10,5,1.0,0.16407663218798105,5756,OPTIMAL,69.370247
2,10,1,0.1,0.5887957814492341,4374,OPTIMAL,41.862445
2,10,5,0.1,0.20138012944901929,4651,OPTIMAL,46.890317
2,10,1,1.0,0.5887957118026572,5959,OPTIMAL,71.621862
2,10,5,1.0,0.20138009258962697,5517,OPTIMAL,64.943158
3,10,1,0.1,0.6513304776521807,4534,OPTIMAL,45.122957
3,10,5,0.1,0.34839935281874157,4544,OPTIMAL,44.630764
3,10,1,1.0,0.6513303974655422,5877,OPTIMAL,72.05993
3,10,5,1.0,0.34839942985195654,5833,OPTIMAL,70.728981
1,15,1,0.1,0.595999205791404,11842,OPTIMAL,993.582284
1,15,5,0.1,0.21761245148373043,12772,OPTIMAL,1071.262232
1,15,1,1.0,0.5959992133075426,14737,OPTIMAL,1530.093948
1,15,5,1.0,0.21761247485900137,14988,OPTIMAL,1556.032547
2,15,1,0.1,0.614546812934252,12394,OPTIMAL,1050.798191
2,15,5,0.1,0.24076878026039106,12110,OPTIMAL,1008.538137
2,15,1,1.0,0.614546865241974,15479,OPTIMAL,1613.955281
2,15,5,1.0,0.24076869309457533,15369,OPTIMAL,1579.551308
3,15,1,0.1,0.2960760563805993,630,OPTIMAL,2.78876
3,15,5,0.1,0.03355684180573139,7077,OPTIMAL,488.280908
3,15,1,1.0,0.23502546521469003,12567,OPTIMAL,1032.806974
3,15,5,1.0,0.033190603786662026,13725,OPTIMAL,1197.516073
1,20,1,0.1,2.5642655129623004,9766,TIME_LIMIT,1800.008448
1,20,5,0.1,4.005463121145484,9001,TIME_LIMIT,1800.002604
1,20,1,1.0,185.8949894939087,9117,TIME_LIMIT,1800.002604
1,20,5,1.0,202.86182871023925,9053,TIME_LIMIT,1800.003993
2,20,1,0.1,4.584067795507613,9072,TIME_LIMIT,1800.002697
2,20,5,0.1,6.196611989210824,9017,TIME_LIMIT,1800.000967
2,20,1,1.0,373.86027599771126,9194,TIME_LIMIT,1800.00052
2,20,5,1.0,392.5585182622662,9265,TIME_LIMIT,1800.003401
3,20,1,0.1,0.6931471805599454,9057,TIME_LIMIT,1800.000857
3,20,5,0.1,0.6931471805599454,13104,TIME_LIMIT,1800.002603
3,20,1,1.0,226.29598778777176,12948,TIME_LIMIT,1800.00228
3,20,5,1.0,245.39136783503739,12927,TIME_LIMIT,1800.002764
